ID,Provincia,Canton,Localizacion,Poblacion,Cantidad,Tasa,Genero,Año
1,SAN JOSE,CENTRAL,PROSTATA,176061,42,23.86,HOMBRE,2011
2,SAN JOSE,ESCAZU,PROSTATA,30462,4,13.13,HOMBRE,2011
3,SAN JOSE,DESAMPARADOS,PROSTATA,152103,21,13.81,HOMBRE,2011
4,SAN JOSE,PURISCAL,PROSTATA,15760,5,31.73,HOMBRE,2011
5,SAN JOSE,TARRAZU,PROSTATA,8417,0,0,HOMBRE,2011
6,SAN JOSE,ASERRI,PROSTATA,28084,2,7.12,HOMBRE,2011
7,SAN JOSE,MORA,PROSTATA,13686,1,7.31,HOMBRE,2011
8,SAN JOSE,GOICOECHEA,PROSTATA,65633,16,24.38,HOMBRE,2011
9,SAN JOSE,SANTA ANA,PROSTATA,22017,8,36.34,HOMBRE,2011
10,SAN JOSE,ALAJUELITA,PROSTATA,66685,5,7.5,HOMBRE,2011
11,SAN JOSE,CORONADO,PROSTATA,41330,10,24.2,HOMBRE,2011
12,SAN JOSE,ACOSTA,PROSTATA,9987,0,0,HOMBRE,2011
13,SAN JOSE,TIBAS,PROSTATA,30106,7,23.25,HOMBRE,2011
14,SAN JOSE,MORAVIA,PROSTATA,27111,4,14.75,HOMBRE,2011
15,SAN JOSE,MONTES DE OCA,PROSTATA,26539,8,30.14,HOMBRE,2011
16,SAN JOSE,TURRUBARES,PROSTATA,2390,1,41.84,HOMBRE,2011
17,SAN JOSE,DOTA,PROSTATA,3338,0,0,HOMBRE,2011
18,SAN JOSE,CURRIDABAT,PROSTATA,36497,6,16.44,HOMBRE,2011
19,SAN JOSE,PEREZ ZELEDON,PROSTATA,65271,11,16.85,HOMBRE,2011
20,SAN JOSE,LEON CORTES,PROSTATA,6824,0,0,HOMBRE,2011
21,ALAJUELA,CENTRAL,PROSTATA,145135,33,22.74,HOMBRE,2011
22,ALAJUELA,SAN RAMON,PROSTATA,45418,8,17.61,HOMBRE,2011
23,ALAJUELA,GRECIA,PROSTATA,42227,11,26.05,HOMBRE,2011
24,ALAJUELA,SAN MATEO,PROSTATA,2985,2,67,HOMBRE,2011
25,ALAJUELA,ATENAS,PROSTATA,13364,2,14.97,HOMBRE,2011
26,ALAJUELA,NARANJO,PROSTATA,23020,5,21.72,HOMBRE,2011
27,ALAJUELA,PALMARES,PROSTATA,19341,3,15.51,HOMBRE,2011
28,ALAJUELA,POAS,PROSTATA,16256,2,12.3,HOMBRE,2011
29,ALAJUELA,OROTINA,PROSTATA,9581,3,31.31,HOMBRE,2011
30,ALAJUELA,SAN CARLOS,PROSTATA,77589,11,14.18,HOMBRE,2011
31,ALAJUELA,ALFARO RUIZ,PROSTATA,7789,0,0,HOMBRE,2011
32,ALAJUELA,VALVERDE VEGA,PROSTATA,9140,3,32.82,HOMBRE,2011
33,ALAJUELA,UPALA,PROSTATA,18732,3,16.02,HOMBRE,2011
34,ALAJUELA,LOS CHILES,PROSTATA,10825,2,18.48,HOMBRE,2011
35,ALAJUELA,GUATUSO,PROSTATA,8694,1,11.5,HOMBRE,2011
36,CARTAGO,CENTRAL,PROSTATA,78555,15,19.09,HOMBRE,2011
37,CARTAGO,PARAISO,PROSTATA,35284,1,2.83,HOMBRE,2011
38,CARTAGO,LA UNION,PROSTATA,53721,6,11.17,HOMBRE,2011
39,CARTAGO,JIMENEZ,PROSTATA,7084,0,0,HOMBRE,2011
40,CARTAGO,TURRIALBA,PROSTATA,35962,6,16.68,HOMBRE,2011
41,CARTAGO,ALVARADO,PROSTATA,6990,0,0,HOMBRE,2011
42,CARTAGO,OREAMUNO,PROSTATA,22556,2,8.87,HOMBRE,2011
43,CARTAGO,EL GUARCO,PROSTATA,19823,4,20.18,HOMBRE,2011
44,HEREDIA,CENTRAL,PROSTATA,67169,14,20.84,HOMBRE,2011
45,HEREDIA,BARVA,PROSTATA,19953,1,5.01,HOMBRE,2011
46,HEREDIA,SANTO DOMINGO,PROSTATA,18957,5,26.38,HOMBRE,2011
47,HEREDIA,SANTA BARBARA,PROSTATA,17747,5,28.17,HOMBRE,2011
48,HEREDIA,SAN RAFAEL,PROSTATA,22062,4,18.13,HOMBRE,2011
49,HEREDIA,SAN ISIDRO,PROSTATA,11378,2,17.58,HOMBRE,2011
50,HEREDIA,BELEN,PROSTATA,11832,5,42.26,HOMBRE,2011
51,HEREDIA,FLORES,PROSTATA,8897,2,22.48,HOMBRE,2011
52,HEREDIA,SAN PABLO,PROSTATA,11720,4,34.13,HOMBRE,2011
53,HEREDIA,SARAPIQUI,PROSTATA,42040,4,9.51,HOMBRE,2011
54,GUANACASTE,LIBERIA,PROSTATA,27303,5,18.31,HOMBRE,2011
55,GUANACASTE,NICOYA,PROSTATA,20554,2,9.73,HOMBRE,2011
56,GUANACASTE,SANTA CRUZ,PROSTATA,22487,5,22.24,HOMBRE,2011
57,GUANACASTE,BAGACES,PROSTATA,9834,2,20.34,HOMBRE,2011
58,GUANACASTE,CARRILLO,PROSTATA,15525,0,0,HOMBRE,2011
59,GUANACASTE,CAÑAS,PROSTATA,12664,4,31.59,HOMBRE,2011
60,GUANACASTE,ABANGARES,PROSTATA,8656,1,11.55,HOMBRE,2011
61,GUANACASTE,TILARAN,PROSTATA,8449,3,35.51,HOMBRE,2011
62,GUANACASTE,NANDAYURE,PROSTATA,5121,3,58.58,HOMBRE,2011
63,GUANACASTE,LA CRUZ,PROSTATA,8863,0,0,HOMBRE,2011
64,GUANACASTE,HOJANCHA,PROSTATA,3384,1,29.55,HOMBRE,2011
65,PUNTARENAS,CENTRAL,PROSTATA,54665,11,20.12,HOMBRE,2011
66,PUNTARENAS,ESPARZA,PROSTATA,14249,0,0,HOMBRE,2011
67,PUNTARENAS,BUENOS AIRES,PROSTATA,22558,1,4.43,HOMBRE,2011
68,PUNTARENAS,MONTES DE ORO,PROSTATA,6692,3,44.83,HOMBRE,2011
69,PUNTARENAS,OSA,PROSTATA,10955,2,18.26,HOMBRE,2011
70,PUNTARENAS,AGUIRRE,PROSTATA,12897,5,38.77,HOMBRE,2011
71,PUNTARENAS,GOLFITO,PROSTATA,15238,2,13.13,HOMBRE,2011
72,PUNTARENAS,COTO BRUS,PROSTATA,17615,5,28.38,HOMBRE,2011
73,PUNTARENAS,PARRITA,PROSTATA,6492,3,46.21,HOMBRE,2011
74,PUNTARENAS,CORREDORES,PROSTATA,16601,6,36.14,HOMBRE,2011
75,PUNTARENAS,GARABITO,PROSTATA,12489,1,8.01,HOMBRE,2011
76,LIMON,CENTRAL,PROSTATA,54106,14,25.88,HOMBRE,2011
77,LIMON,POCOCI,PROSTATA,81446,12,14.73,HOMBRE,2011
78,LIMON,SIQUIRRES,PROSTATA,32217,4,12.42,HOMBRE,2011
79,LIMON,TALAMANCA,PROSTATA,18065,3,16.61,HOMBRE,2011
80,LIMON,MATINA,PROSTATA,25619,3,11.71,HOMBRE,2011
81,LIMON,GUACIMO,PROSTATA,25132,1,3.98,HOMBRE,2011
82,SAN JOSE,CENTRAL,ESTOMAGO,176061,30,17.04,HOMBRE,2011
83,SAN JOSE,ESCAZU,ESTOMAGO,30462,2,6.57,HOMBRE,2011
84,SAN JOSE,DESAMPARADOS,ESTOMAGO,152103,26,17.09,HOMBRE,2011
85,SAN JOSE,PURISCAL,ESTOMAGO,15760,2,12.69,HOMBRE,2011
86,SAN JOSE,TARRAZU,ESTOMAGO,8417,2,23.76,HOMBRE,2011
87,SAN JOSE,ASERRI,ESTOMAGO,28084,5,17.8,HOMBRE,2011
88,SAN JOSE,MORA,ESTOMAGO,13686,4,29.23,HOMBRE,2011
89,SAN JOSE,GOICOECHEA,ESTOMAGO,65633,13,19.81,HOMBRE,2011
90,SAN JOSE,SANTA ANA,ESTOMAGO,22017,5,22.71,HOMBRE,2011
91,SAN JOSE,ALAJUELITA,ESTOMAGO,66685,2,3,HOMBRE,2011
92,SAN JOSE,CORONADO,ESTOMAGO,41330,3,7.26,HOMBRE,2011
93,SAN JOSE,ACOSTA,ESTOMAGO,9987,4,40.05,HOMBRE,2011
94,SAN JOSE,TIBAS,ESTOMAGO,30106,10,33.22,HOMBRE,2011
95,SAN JOSE,MORAVIA,ESTOMAGO,27111,2,7.38,HOMBRE,2011
96,SAN JOSE,MONTES DE OCA,ESTOMAGO,26539,1,3.77,HOMBRE,2011
97,SAN JOSE,TURRUBARES,ESTOMAGO,2390,3,125.52,HOMBRE,2011
98,SAN JOSE,DOTA,ESTOMAGO,3338,1,29.96,HOMBRE,2011
99,SAN JOSE,CURRIDABAT,ESTOMAGO,36497,6,16.44,HOMBRE,2011
100,SAN JOSE,PEREZ ZELEDON,ESTOMAGO,65271,15,22.98,HOMBRE,2011
101,SAN JOSE,LEON CORTES,ESTOMAGO,6824,3,43.96,HOMBRE,2011
102,ALAJUELA,CENTRAL,ESTOMAGO,145135,19,13.09,HOMBRE,2011
103,ALAJUELA,SAN RAMON,ESTOMAGO,45418,6,13.21,HOMBRE,2011
104,ALAJUELA,GRECIA,ESTOMAGO,42227,5,11.84,HOMBRE,2011
105,ALAJUELA,SAN MATEO,ESTOMAGO,2985,1,33.5,HOMBRE,2011
106,ALAJUELA,ATENAS,ESTOMAGO,13364,3,22.45,HOMBRE,2011
107,ALAJUELA,NARANJO,ESTOMAGO,23020,8,34.75,HOMBRE,2011
