ID,Provincia,Canton,Localizacion,Cantidad,Tasa,Genero,Año
,SAN JOSE,CENTRAL,PROSTATA,42,23.86,HOMBRE,2011
,SAN JOSE,ESCAZU,PROSTATA,4,13.13,HOMBRE,2011
,SAN JOSE,DESAMPARADOS,PROSTATA,21,13.81,HOMBRE,2011
,SAN JOSE,PURISCAL,PROSTATA,5,31.73,HOMBRE,2011
,SAN JOSE,TARRAZU,PROSTATA,0,0,HOMBRE,2011
,SAN JOSE,ASERRI,PROSTATA,2,7.12,HOMBRE,2011
,SAN JOSE,MORA,PROSTATA,1,7.31,HOMBRE,2011
,SAN JOSE,GOICOECHEA,PROSTATA,16,24.38,HOMBRE,2011
,SAN JOSE,SANTA ANA,PROSTATA,8,36.34,HOMBRE,2011
,SAN JOSE,ALAJUELITA,PROSTATA,5,7.5,HOMBRE,2011
,SAN JOSE,CORONADO,PROSTATA,10,24.2,HOMBRE,2011
,SAN JOSE,ACOSTA,PROSTATA,0,0,HOMBRE,2011
,SAN JOSE,TIBAS,PROSTATA,7,23.25,HOMBRE,2011
,SAN JOSE,MORAVIA,PROSTATA,4,14.75,HOMBRE,2011
,SAN JOSE,MONTES DE OCA,PROSTATA,8,30.14,HOMBRE,2011
,SAN JOSE,TURRUBARES,PROSTATA,1,41.84,HOMBRE,2011
,SAN JOSE,DOTA,PROSTATA,0,0,HOMBRE,2011
,SAN JOSE,CURRIDABAT,PROSTATA,6,16.44,HOMBRE,2011
,SAN JOSE,PEREZ ZELEDON,PROSTATA,11,16.85,HOMBRE,2011
,SAN JOSE,LEON CORTES,PROSTATA,0,0,HOMBRE,2011
,ALAJUELA,CENTRAL,PROSTATA,33,22.74,HOMBRE,2011
,ALAJUELA,SAN RAMON,PROSTATA,8,17.61,HOMBRE,2011
,ALAJUELA,GRECIA,PROSTATA,11,26.05,HOMBRE,2011
,ALAJUELA,SAN MATEO,PROSTATA,2,67,HOMBRE,2011
,ALAJUELA,ATENAS,PROSTATA,2,14.97,HOMBRE,2011
,ALAJUELA,NARANJO,PROSTATA,5,21.72,HOMBRE,2011
,ALAJUELA,PALMARES,PROSTATA,3,15.51,HOMBRE,2011
,ALAJUELA,POAS,PROSTATA,2,12.3,HOMBRE,2011
,ALAJUELA,OROTINA,PROSTATA,3,31.31,HOMBRE,2011
,ALAJUELA,SAN CARLOS,PROSTATA,11,14.18,HOMBRE,2011
,ALAJUELA,ALFARO RUIZ,PROSTATA,0,0,HOMBRE,2011
,ALAJUELA,VALVERDE VEGA,PROSTATA,3,32.82,HOMBRE,2011
,ALAJUELA,UPALA,PROSTATA,3,16.02,HOMBRE,2011
,ALAJUELA,LOS CHILES,PROSTATA,2,18.48,HOMBRE,2011
,ALAJUELA,GUATUSO,PROSTATA,1,11.5,HOMBRE,2011
,CARTAGO,CENTRAL,PROSTATA,15,19.09,HOMBRE,2011
,CARTAGO,PARAISO,PROSTATA,1,2.83,HOMBRE,2011
,CARTAGO,LA UNION,PROSTATA,6,11.17,HOMBRE,2011
